,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
447,134003,605401,1,17.7,10.1,10.1,361,108,1428,PREMIUM,5 Day/s,380,18,380,58,362,HARYANA,30.38258335,76.77158335,0,0,False,TAMILNADU,12.067166,79.395827,1,0,True
448,134003,605401,1,17.7,10.1,10.1,361,761,985,PREMIUM,5 Day/s,625,18,625,95,761,HARYANA,30.38258335,76.77158335,0,0,False,TAMILNADU,12.067166,79.395827,1,0,True
449,624201,605401,1,41.7,35.9,36.9,11048,16023,11558,PREMIUM,5 Day/s,2295,18,2295,350,16023,TAMILNADU,10.14,77.91,1,0,True,TAMILNADU,12.067166,79.395827,1,0,True
450,134003,143527,1,17.7,10.1,10.1,361,528,1591,PREMIUM,3 Day/s,435,18,435,66,528,HARYANA,30.38258335,76.77158335,0,0,False,PUNJAB,31.78,75.44999999999999,0,0,True
451,603308,143527,1,68.58,33.02,35.56,16105,9115,5859,PREMIUM,6 Day/s,6545,18,6545,998,16106,TAMILNADU,12.6166209,79.94905,1,0,True,PUNJAB,31.78,75.44999999999999,0,0,True
452,571435,143527,1,10.16,10.16,3.81,70,431,13679,PREMIUM,5 Day/s,380,18,380,58,431,KARNATAKA,12.46,76.78,1,0,True,PUNJAB,31.78,75.44999999999999,0,0,True
453,134003,403109,1,68.58,33.02,35.56,16105,16541,8286,PREMIUM,4 Day/s,6545,18,6545,998,16541,HARYANA,30.38258335,76.77158335,0,0,False,GOA,15.5015,73.8044167,0,0,True
454,134003,403109,1,68.58,33.02,35.56,16105,16946,6731,PREMIUM,4 Day/s,6545,18,6545,998,16946,HARYANA,30.38258335,76.77158335,0,0,False,GOA,15.5015,73.8044167,0,0,True
455,134003,531011,1,21.0,10.1,15.5,657,689,9843,PREMIUM,4 Day/s,625,18,625,95,689,HARYANA,30.38258335,76.77158335,0,0,False,ANDHRAPRADESH,17.5407164,82.98861935,0,0,True
456,134003,614711,1,30.0,30.0,10.0,1800,708,5007,PREMIUM,4 Day/s,1115,18,1115,170,1800,HARYANA,30.38258335,76.77158335,0,0,False,TAMILNADU,79.705,10.55,1,0,True
457,134003,365601,0,68.58,33.02,35.56,16105,9131,4002,PREMIUM,8 Day/s,6545,18,6545,998,16106,HARYANA,30.38258335,76.77158335,0,0,False,GUJARAT,21.6080588,71.2270155,0,0,False
458,134003,365601,0,68.58,33.02,35.56,16105,15299,20542,PREMIUM,8 Day/s,6545,18,6545,998,16106,HARYANA,30.38258335,76.77158335,0,0,False,GUJARAT,21.6080588,71.2270155,0,0,False
459,134003,403731,1,15.16,15.16,7.0,321,654,2652,PREMIUM,4 Day/s,625,18,625,95,654,HARYANA,30.38258335,76.77158335,0,0,False,GOA,15.1869444,73.9472778,0,0,True
460,638105,403731,1,17.7,10.1,10.1,361,786,16858,PREMIUM,4 Day/s,435,18,435,66,786,TAMILNADU,11.01843745,77.7445486,1,0,True,GOA,15.1869444,73.9472778,0,0,True
461,134003,843103,1,27.7,20.9,22.5,2605,436,16497,PREMIUM,2 Day/s,1605,18,1605,245,2606,HARYANA,30.38258335,76.77158335,0,0,False,BIHAR,26.149302,85.492378,0,0,True
462,160017,843103,1,22.86,15.24,7.62,530,1455,13968,PREMIUM,2 Day/s,870,18,870,133,1455,CHANDIGARH,30.7420833,76.7833611,0,0,True,BIHAR,26.149302,85.492378,0,0,True
463,134003,124201,1,10.16,10.16,3.81,70,437,14795,PREMIUM,4 Day/s,220,18,220,34,437,HARYANA,30.38258335,76.77158335,0,0,False,HARYANA,28.725367,76.562691,0,0,True
464,134003,412220,1,48.1,40.4,38.9,15118,21785,9945,PREMIUM,4 Day/s,8470,18,8470,1292,21785,HARYANA,30.38258335,76.77158335,0,0,False,MAHARASHTRA,18.65,74.15,1,0,True
465,134003,402106,1,33.0,25.0,35.0,5775,2992,23693,PREMIUM,6 Day/s,3075,18,3075,469,5775,HARYANA,30.38258335,76.77158335,0,0,False,MAHARASHTRA,18.570790950000003,73.1071513,1,0,True
466,134003,402106,1,33.0,25.0,35.0,5775,740,19580,PREMIUM,6 Day/s,3075,18,3075,469,5775,HARYANA,30.38258335,76.77158335,0,0,False,MAHARASHTRA,18.570790950000003,73.1071513,1,0,True
