,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,min_price,eddDays,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
7388,242001,382130,0,21.0,10.1,15.5,657,5,5265,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7389,242001,382130,0,21.0,10.1,15.5,657,6,10554,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7390,242001,382130,0,21.0,10.1,15.5,657,7,9298,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7391,242001,382130,0,21.0,10.1,15.5,657,8,7152,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7392,242001,382130,0,21.0,10.1,15.5,657,9,18610,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7393,242001,382130,0,21.0,10.1,15.5,657,10,14131,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7394,242001,382130,0,21.0,10.1,15.5,657,11,10993,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7395,242001,382130,0,21.0,10.1,15.5,657,12,20880,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7396,242001,382130,0,21.0,10.1,15.5,657,13,20073,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7397,242001,382130,0,21.0,10.1,15.5,657,14,8007,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7398,242001,382130,0,21.0,10.1,15.5,657,15,602,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7399,242001,382130,0,21.0,10.1,15.5,657,16,19117,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7400,242001,382130,0,21.0,10.1,15.5,657,17,16691,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7401,242001,382130,0,21.0,10.1,15.5,657,18,18720,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7402,242001,382130,0,21.0,10.1,15.5,657,19,8897,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7403,242001,382130,0,21.0,10.1,15.5,657,20,9204,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7404,242001,382130,0,21.0,10.1,15.5,657,21,19742,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7405,242001,382130,0,21.0,10.1,15.5,657,22,12948,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7406,242001,382130,0,21.0,10.1,15.5,657,23,23155,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7407,242001,382130,0,21.0,10.1,15.5,657,24,4454,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7408,242001,382130,0,21.0,10.1,15.5,657,25,20392,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7409,242001,382130,0,21.0,10.1,15.5,657,26,6714,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7410,242001,382130,0,21.0,10.1,15.5,657,27,20910,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7411,242001,382130,0,21.0,10.1,15.5,657,28,21883,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7412,242001,382130,0,21.0,10.1,15.5,657,29,18015,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7413,242001,382130,0,21.0,10.1,15.5,657,30,19794,STD EXP-A,5 - 6 Day/s,325,18,325,50,658,325,6,UTTARPRADESH,27.8837,79.9122,0,0,False,GUJARAT,23.29,72.02,0,0,True
7414,211014,416416,0,21.7,11.5,6.6,329,497,18343,STD EXP-A,3 - 4 Day/s,190,18,190,29,497,190,4,UTTARPRADESH,25.4750833,81.8177778,0,0,True,MAHARASHTRA,16.853903850000002,74.57902555000001,1,0,False
7415,416416,211014,0,21.7,11.5,6.6,329,497,18343,STD EXP-A,5 - 6 Day/s,190,18,190,29,497,190,6,MAHARASHTRA,16.853903850000002,74.57902555000001,1,0,False,UTTARPRADESH,25.4750833,81.8177778,0,0,True
7416,673027,764061,1,33.0,25.0,35.0,5775,5484,12859,AIR CARGO,6 - 7 Day/s,1212,19,1212,194,5775,1212,7,KERALA,11.21,75.82,0,0,True,ODISHA,19.2608533,82.24664745000001,0,0,True
7417,517646,764061,1,34.0,33.0,6.0,1347,778,4223,STD EXP-A,5 - 6 Day/s,460,18,460,70,1347,460,6,ANDHRAPRADESH,13.77,79.59,0,0,True,ODISHA,19.2608533,82.24664745000001,0,0,True
7418,673027,621710,1,17.7,10.1,10.1,361,948,2404,PREMIUM,3 Day/s,435,19,435,69,948,435,3,KERALA,11.21,75.82,0,0,True,TAMILNADU,11.26,79.259074,1,0,True
7419,673027,621710,1,17.7,10.1,10.1,361,768,22017,PREMIUM,3 Day/s,435,19,435,69,768,435,3,KERALA,11.21,75.82,0,0,True,TAMILNADU,11.26,79.259074,1,0,True
7420,400024,621710,1,33.7,32.2,18.0,3900,996,12261,PREMIUM,5 Day/s,2095,18,2095,320,3907,2095,5,MAHARASHTRA,19.058954,72.880672,1,0,True,TAMILNADU,11.26,79.259074,1,0,True
7421,723146,621710,1,33.7,32.2,18.0,3900,4925,6194,PREMIUM,5 Day/s,2585,18,2585,394,4925,2585,5,WESTBENGAL,23.5756873,86.4661067,1,0,True,TAMILNADU,11.26,79.259074,1,0,True
7422,764061,673027,1,33.0,25.0,35.0,5775,5484,12859,AIR CARGO,6 - 7 Day/s,1200,18,1200,183,5775,1200,7,ODISHA,19.2608533,82.24664745000001,0,0,True,KERALA,11.21,75.82,0,0,True
7423,621710,673027,1,17.7,10.1,10.1,361,948,2404,STD EXP-A,5 - 6 Day/s,180,18,180,27,948,180,6,TAMILNADU,11.26,79.259074,1,0,True,KERALA,11.21,75.82,0,0,True
7424,621710,673027,1,17.7,10.1,10.1,361,768,22017,STD EXP-A,5 - 6 Day/s,180,18,180,27,768,180,6,TAMILNADU,11.26,79.259074,1,0,True,KERALA,11.21,75.82,0,0,True
7425,764061,517646,1,34.0,33.0,6.0,1347,778,4223,STD EXP-A,4 - 5 Day/s,460,18,460,70,1347,460,5,ODISHA,19.2608533,82.24664745000001,0,0,True,ANDHRAPRADESH,13.77,79.59,0,0,True
7426,247664,160101,1,41.7,35.9,36.9,11048,4503,12925,STD EXP-A,3 - 4 Day/s,1380,18,1380,211,11049,1380,4,UTTARAKHAND,29.8165139,77.9188139,0,0,True,CHANDIGARH,30.70281715,76.7651078,0,0,False
7427,733125,160101,0,55.0,45.0,41.0,20295,11271,18890,GROUND EXPRESS,5 - 6 Day/s,2750,18,2750,419,21364,2750,6,WESTBENGAL,25.38,88.27,1,0,True,CHANDIGARH,30.70281715,76.7651078,0,0,False
7428,733125,160101,0,55.0,45.0,41.0,20295,20059,16694,GROUND EXPRESS,5 - 6 Day/s,2750,18,2750,419,21364,2750,6,WESTBENGAL,25.38,88.27,1,0,True,CHANDIGARH,30.70281715,76.7651078,0,0,False
