,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude,LatitudeNum,Latitide_upt,Latitide_diff
48293,Punjab Circle,DivReportingCircle,Sangrur Division,Mehlan BO,148002,BO,Delivery,SANGRUR,PUNJAB,42.0568510,88.1345910-,42.056851,28.16514,13.891711
48296,Punjab Circle,DivReportingCircle,Sangrur Division,Saron BO,148034,BO,Delivery,SANGRUR,PUNJAB,41.8793750,73.4768700-,41.879375,27.965739,13.913636000000004
48315,Jammukashmir Circle,DivReportingCircle,Jammu Division,Logate BO,184104,BO,Delivery,KATHUA,JAMMU AND KASHMIR,42.4445490,19.2465210,42.444549,32.369409,10.075140000000005
48646,Himachal Pradesh Circle,DivReportingCircle,Solan Division,Koti BO,173207,BO,Delivery,SOLAN,HIMACHAL PRADESH,77.0967357,30.9044857,77.0967357,30.904486,46.1922497
49107,Punjab Circle,DivReportingCircle,Sangrur Division,Rogla BO,148035,BO,Delivery,SANGRUR,PUNJAB,46.4593580,15.3344400,46.459358,30.124178,16.33518
49108,Punjab Circle,DivReportingCircle,Sangrur Division,Samuran BO,148035,BO,Delivery,SANGRUR,PUNJAB,42.9876940,0.5942650,42.987694,30.124178,12.863515999999997
49114,Punjab Circle,DivReportingCircle,Sangrur Division,Ghorenab BO,148031,BO,Delivery,SANGRUR,PUNJAB,29.9631600,75.8824420,29.96316,12.5456,17.417559999999998
49117,Punjab Circle,DivReportingCircle,Sangrur Division,Hathan BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,30.4509880,75.8214370,30.450988,15.383333,15.067654999999998
49118,Punjab Circle,DivReportingCircle,Sangrur Division,Hussainpura BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,30.9570100,75.8156260,30.95701,15.383333,15.573677
49158,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Chainpur Khas BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
49159,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Chirubera BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.6345073,85.6100683,22.6345073,5.27584,17.3586673
49160,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Gopinathpur BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
49161,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Hathia BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
49162,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Jamid BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.6572985,85.5740741,22.6572985,5.27584,17.3814585
49163,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Keraikela BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7008898,85.9254151,22.7008898,5.27584,17.4250498
49215,Punjab Circle,DivReportingCircle,Sangrur Division,Hamidi BO,148025,BO,Delivery,BARNALA,PUNJAB,40.7153260,74.0102700-,40.715326,30.434262,10.281063999999997
49471,Himachal Pradesh Circle,DivReportingCircle,Dehra Gopipur Division,Ghurkari BO,176001,BO,Delivery,KANGRA,HIMACHAL PRADESH,76.2928030,76.2928030,76.292803,32.111,44.18180300000001
49516,Madhya Pradesh Circle,Indore Region,Ujjain Division,Lala B.O,465441,BO,Delivery,AGAR MALWA,MADHYA PRADESH,7.9485980,123.7629460,7.948598,24.624808,-16.67621
49657,Punjab Circle,DivReportingCircle,Sangrur Division,Manak Majra BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,30.6978720,76.3094520,30.697872,15.383333,15.314539
49683,Karnataka Circle,South Karnataka Region,Chitradurga Division,Durgavara B.O,577537,BO,Delivery,CHITRADURGA,KARNATAKA,26.8517970,75.7862230,26.851797,14.439577,12.412220000000001
49903,Bihar Circle,DivReportingCircle,Vaishali Division,Ajijpur Chande BO,843110,BO,Delivery,VAISHALI,BIHAR,25.6737460,85.3655630,25.673746,85.558657,-59.884910999999995
49908,Bihar Circle,DivReportingCircle,Vaishali Division,Rampur Bhaghel BO,844507,BO,Delivery,VAISHALI,BIHAR,85.5047120,25.6545100,85.504712,25.65451,59.850201999999996
49911,Bihar Circle,DivReportingCircle,Vaishali Division,Palwaiya BO,844506,BO,Delivery,VAISHALI,BIHAR,25.6737460,85.3655630,25.673746,85.494219,-59.820473
49912,Bihar Circle,DivReportingCircle,Vaishali Division,Taibpur BO,844506,BO,Delivery,VAISHALI,BIHAR,25.6737460,85.3655630,25.673746,85.494219,-59.820473
49955,Bihar Circle,DivReportingCircle,Vaishali Division,Chakmajahid BO,844122,BO,Delivery,VAISHALI,BIHAR,25.8266720,85.3914590,25.826672,85.391459,-59.564786999999995
49983,Madhya Pradesh Circle,Indore Region,Indore Moffusil Division,Chalni B.O,454441,BO,Delivery,DHAR,MADHYA PRADESH,32.5678090,74.9990450,32.567809,22.559793,10.008015999999998
49986,Madhya Pradesh Circle,Indore Region,Indore Moffusil Division,Dholana B.O,454660,BO,Delivery,DHAR,MADHYA PRADESH,49.6498730,17.3224080,49.649873,29.006354,20.643518999999998
49997,Madhya Pradesh Circle,Indore Region,Indore Moffusil Division,Zirvi B.O,454449,BO,Delivery,DHAR,MADHYA PRADESH,40.6772130,74.4117760-,40.677213,22.269376,18.407837
50061,Haryana Circle,DivReportingCircle,Karnal Division,Bighana B.O,126111,BO,Delivery,JIND,HARYANA,36.3200000,25.3600000,36.32,25.36,10.96
50068,Kerala Circle,Kochi Region,Idukki Division,Kochukarimtharuvi BO,685501,BO,Delivery,IDUKKI,KERALA,76.9779130,76.9779130,76.977913,9.673997,67.303916
50093,Jammukashmir Circle,DivReportingCircle,Srinagar Division,Sirhama BO,192401,BO,Delivery,ANANTNAG,JAMMU AND KASHMIR,2.6000000,32.8000000,2.6,32.5,-29.9
50101,Jammukashmir Circle,DivReportingCircle,Srinagar Division,Bouli BO,192123,BO,Delivery,PULWAMA,JAMMU AND KASHMIR,235.5000000,75.5000000,235.5,254.4,-18.900000000000006
50102,Jammukashmir Circle,DivReportingCircle,Srinagar Division,Buchoo BO,192123,BO,Delivery,PULWAMA,JAMMU AND KASHMIR,225.5000000,113.5000000,225.5,254.4,-28.900000000000006
50103,Jammukashmir Circle,DivReportingCircle,Srinagar Division,Lurgam BO,192123,BO,Delivery,PULWAMA,JAMMU AND KASHMIR,134.6000000,74.5000000,134.6,254.4,-119.80000000000001
50104,Jammukashmir Circle,DivReportingCircle,Srinagar Division,Mandoora BO,192123,BO,Delivery,PULWAMA,JAMMU AND KASHMIR,134.5000000,74.6000000,134.5,254.4,-119.9
50105,Jammukashmir Circle,DivReportingCircle,Srinagar Division,Midroo BO,192123,BO,Delivery,PULWAMA,JAMMU AND KASHMIR,125.5000000,74.7000000,125.5,254.4,-128.9
50106,Jammukashmir Circle,DivReportingCircle,Srinagar Division,Pastana BO,192123,BO,Delivery,PULWAMA,JAMMU AND KASHMIR,125.5000000,74.6000000,125.5,254.4,-128.9
50109,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Nakti BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
50143,Kerala Circle,Kochi Region,Idukki Division,Neyyassery BO,685581,BO,Delivery,IDUKKI,KERALA,9.9346690,76.7744100,9.934669,76.825244,-66.890575
50224,Karnataka Circle,South Karnataka Region,Chitradurga Division,Dummi B.O,577531,BO,Delivery,CHITRADURGA,KARNATAKA,36.1571690,90.2899840,36.157169,14.040535,22.116634000000005
50249,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Roladih BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.3483089,85.9253369,22.3483089,5.27584,17.0724689
50260,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Baipee BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
50261,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Bhalupani BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
50262,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Hesalkuti BO,833102,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.7122500,85.6689500,22.71225,5.27584,17.436410000000002
